产品代码,产品名称,产品英文名称,产品单重,产品尺寸,规格,计划库存,采购在途,退件在途,待上架,可用库存,可售库存,可售库存减去缺货占用库存,待出库,"不良品 ",不良品待出库,预警库存,缺货,缺货天数,缺货订单所占可售库存,默认采购员,销售负责人,开发负责人,pi_id,可售天数,币种(供应商结算),采购计划,仓库,仓库代码,一级品类,二级品类,三级品类,销售状态,仓库产品代码,推荐库位,单价(默认采购价),款式,可售总库存,库龄
D112-FS-01,Shisha-双苹果,"Shisha-Two Apple",0.923,17.50*8.70*13.50,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,262,0,RMB,0,德三仓-杜塞,DS-DE,Shisha,,,平台下架,,DS-DE,195.0000,,0,0
D112-FS-02,Shisha-蓝莓拉兹柠檬,"Shisha-Blue Razz Lemonade",0.923,17.50*8.70*13.50,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,263,0,RMB,0,德三仓-杜塞,DS-DE,Shisha,,,平台下架,,DS-DE,195.0000,,0,0
D112-FS-03,Shisha-桃子冰,"Shisha-Peach ice",0.923,17.50*8.70*13.50,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,264,0,RMB,0,德三仓-杜塞,DS-DE,Shisha,,,平台下架,,DS-DE,195.0000,,0,0
D112-FS-04,Shisha-芒果冰,"Shisha-Mango ice",0.923,17.50*8.70*13.50,,0,1,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,265,0,RMB,0,德三仓-杜塞,DS-DE,Shisha,,,平台下架,,DS-DE,195.0000,,0,0
D112-FS-05,Shisha-西瓜冰,"Shisha-Lush ice",0.923,17.50*8.70*13.50,,0,1,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,266,0,RMB,0,德三仓-杜塞,DS-DE,Shisha,,,平台下架,,DS-DE,195.0000,,0,0
D112-FS-06,Shisha-柠檬薄荷,"Shisha-Lemon Mint",0.923,17.50*8.70*13.50,,0,2,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,267,0,RMB,0,德三仓-杜塞,DS-DE,Shisha,,,平台下架,,DS-DE,195.0000,,0,0
D112-FS-07,Shisha-魔法爱心,"Shisha-Magic Love",0.923,17.50*8.70*13.50,,0,2,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,268,0,RMB,0,德三仓-杜塞,DS-DE,Shisha,,,平台下架,,DS-DE,195.0000,,0,0
D112-FS-08,Shisha-葡萄薄荷,"Shisha-Grape Mint",0.923,17.50*8.70*13.50,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,269,0,RMB,0,德三仓-杜塞,DS-DE,Shisha,,,平台下架,,DS-DE,195.0000,,0,0
D112-FS-09,Shisha-草莓藩趣酒,"Shisha-Strawberry Punch",0.923,17.50*8.70*13.50,,0,1,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,270,0,RMB,0,德三仓-杜塞,DS-DE,Shisha,,,平台下架,,DS-DE,195.0000,,0,0
D112-FS-10,Shisha-蓝莓泡泡糖,"Shisha-Blueberry Gum",0.923,17.50*8.70*13.50,,0,0,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,271,0,RMB,0,德三仓-杜塞,DS-DE,Shisha,,,平台下架,,DS-DE,195.0000,,0,0
D112-FS-111,Shisha-莓果冰,"Shisha-berry ice",0.923,17.50*8.70*13.50,,0,2,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,272,0,RMB,0,德三仓-杜塞,DS-DE,Shisha,,,平台下架,,DS-DE,195.0000,,0,0
D112-FS-12,Shisha-甜百香果,"Shisha-sweetpassion fruit",0.923,17.50*8.70*13.50,,0,2,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,273,0,RMB,0,德三仓-杜塞,DS-DE,Shisha,,,平台下架,,DS-DE,195.0000,,0,0
D112-FS-13,Shisha-殷桃狂欢,"Shisha-cherry fiesta",0.923,17.50*8.70*13.50,,0,3,0,0,0,0,0,0,0,0,0,,0,,Sunny,,,274,0,RMB,0,德三仓-杜塞,DS-DE,Shisha,,,平台下架,,DS-DE,195.0000,,0,0
